NCT Number,Study Title,Conditions,Sponsor
NCT06417905,Effect of Exercises on Dentists' Body Functions,Neck Pain,Dokuz Eylul University
NCT06417892,Fruquintinib and Albumin-paclitaxel Combined With or Without PD-1 Antibody in 2nd-line Treatment of G/GEJ Adenocarcinoma,Gastric Cancer,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences"
NCT06417879,Attitude And Practice of Egyptian Dental Practitioners Regarding Restoration Repair,Practice|Attitude|Dental Restoration Repair,Cairo University
NCT06417866,Informed Consent Using a Spinal Model,Anxiety|Depression|Pain,Ankara University
NCT06417853,Influenza A (H7N9) Vaccine Delivered Intradermally by High-density Microarray Patch (HD-MAP),H7N9 Influenza,Vaxxas Pty Ltd
NCT06417840,To Evaluate the Impact of Consumption of a Bioactive Compound on Fasting Blood Glucose Levels in Asian Indians With Pre-diabetes,PreDiabetes,Brightseed
NCT06417827,Artificial Intelligence for Mental Health Diagnoses and Treatment Plans: A Protocol for Actors and Patients,Mental Health Diagnosis,Sheba Medical Center
NCT06417814,A Study to Investigate the Efficacy and Safety of Dato-DXd With or Without Osimertinib Compared With Platinum Based Doublet Chemotherapy in Participants With EGFR-Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer,Metastatic Non-small Cell Lung Cancer,AstraZeneca
NCT06417801,Prevalence of Emerging Treatment-induced Mutations in Metastatic ER-positive Breast Cancer.,Metastatic Breast Cancer,AstraZeneca
NCT06417788,Dynamic Guided Implant Surgery VS Static Guided Surgery.,Partially Edentulous Patients|Bone Crest of at Least 10 mm Length and 6 mm Width|Patients of at Least 18 Years Old|Good General Health (ASAS Type 1-2 Suitable for Oral Surgery),Universitat Internacional de Catalunya
NCT06417775,Study of Oral Ubrogepant to Assess Adverse Events and Change in Disease Activity in Adult Participants With Menstrual Migraine,Migraine,AbbVie
NCT06417762,"Dime La VerDAD: Verify, Debunk, and Disseminate",Misinformation|Influenza|COVID-19|Vaccine Hesitancy|Communication Research|Health Behavior,Marina Del Rios
NCT06417749,MIND Diet and Cognitive Function in Middle-aged and Older Adults,Cognitive Function|Dementia,Zhejiang University
NCT06417736,Prospective Study for Endometrial Carcinoma and Hyperplasia in Childbearing-age Women,Endometrial Cancer Stage I|Endometrial Hyperplasia,Women's Hospital School Of Medicine Zhejiang University
NCT06417723,Effect of Maxillary Nerve Block for Septoplasty,Post Operative Pain,Adiyaman University Research Hospital
NCT06417710,Standardized Clinical Assessment of Patients With Leptomeningeal Metastasis,Leptomeningeal Metastasis|Leptomeningeal Disease|Leptomeningeal Neoplasms|Leptomeningeal Cancer,University of Zurich
NCT06417697,A Phase 1b Study to Evaluate the Safety of XEN-101,Obesity,Xeno Biosciences
NCT06417684,Comparison of Amitriptyline to Lifestyle Modification as Intervention for Vestibular Migraine,Vestibular Migraine,Vanderbilt University Medical Center
NCT06417671,The Effect of Postbiotics Supplementation on Exercise-induced Oxidative Stress.,Postbiotics Supplement,University of Thessaly
NCT06417658,Comparing Cosmetic Outcomes: Endoscopic vs. Conventional Craniotomy for Frontal Skull Base Lesions,Brain Tumor,University of Health Sciences Lahore
NCT06417645,Re-evaluation of the Effect Site Model of the PKPD Propofol Eleveld Model,Healthy|Surgery,Universidad del Desarrollo
NCT06417632,Prosthetic Outcomes and Clinical Performance of Implant Supported Zirconia Crowns,Dental Restoration|Dental Implant,University of Jordan
NCT06417619,The Effect of Mindfulness-Based Psychoeducation,"Depressive Disorder, Major",University of Gaziantep
NCT06417606,Lenvatinib and Adebrelimab Combined With GEMOX in the Perioperative Treatment of Potentially Resectable Intrahepatic Cholangiocarcinoma,Intrahepatic Cholangiocarcinoma,Zhiyong Huang
NCT06417593,Phenotypic and Genotypic Characteristics of Pseudomonas Aeruginosa Isolates in Sohag University Hospitals,Pseudomonas Aeruginosa Infection,Sohag University
NCT06417580,"Effect of Pregabalin Gel in Controlling Cervical Dentin Hypersensitivity: a Randomized, Double-blind Clinical Study",Dentin Sensitivity,Jesuína Lamartine Nogueira Araújo
NCT06417567,The Safety and Effectiveness of NEPA in Preventing Postoperative Nausea and Vomiting After General Anesthesia Gastrointestinal Cancer Surgery: A Single-Center Retrospective Study,General Anesthesia Gastrointestinal Cancer Surgery,Tianjin Medical University Cancer Institute and Hospital
NCT06417554,A Trial of SHR-A2102 With or Without Antitumor Therapy in Advanced Solid Tumors,Advanced Solid Tumors,"Shanghai Hengrui Pharmaceutical Co., Ltd."
NCT06417541,Autopsy and Photon Counting Computed Tomography to Evaluate Thromboses Related to Central Venous Catheters,Central Venous Catheter Thrombosis,Thomas Kander
NCT06417528,Chronic Postsurgical Pain: Multivariate Prediction Model,"Post Surgical Pain|Post Operative Pain|Postoperative Pain, Chronic",Societa Italiana Anestesia Analgesia Rianimazione e Terapia Intensiva
NCT06417515,The Potential Benefit of Xiao-Yao-San Treatment in Patients With Insomnia,"Insomnia, Chinese Herbs, Xiao-Yao-San, Polysomnography",Yu-Ching HSU
NCT06417502,Observational Study of Pediatric Rheumatic and Immunologic Diseases in China: The CAPRID Registry,Autoimmune Diseases|Autoinflammatory Diseases,Peking Union Medical College Hospital
NCT06417489,"Evaluation of Efficacy and Safety of Combination Therapy of Henagliflozin Proline, Retagliptin and Metformin in New Diagnosed Type 2 Diabetes Patients",Type 2 Diabetes,Peking University First Hospital
NCT06417476,Short-course Radiotherapy or Long-course Chemoradiation Followed by mFOLFOXIRI Consolidation Chemotherapy for Organ Preservation in Low Rectal Cancer,Rectal Neoplasms,Pei-Rong Ding
NCT06417463,Role of TIRADS and Bethesda Scoring Systems in Management of Thyroid Nodules,Thyroid Nodule,Sohag University
NCT06417450,Usefulness of NESA Microcurrents in the Treatment of Children With Autism Spectrum Disorders,Autism Spectrum Disorder,University of Las Palmas de Gran Canaria
NCT06417437,Non-invasive BCI and Application Verification for Depressed People,Depression|Major Depressive Disorder|Bipolar Depression,Shanghai Mental Health Center
NCT06417424,Observe Intestinal Tract Cleaness of Senile Constipation Patients Used Gastrointestinal External Stimulation,Electric Stimulation,Shanghai East Hospital
NCT06417411,LEARNER- Low dosE AspiRiN prEterm tRial (Angola),Sickle Cell Disease|Pregnancy Related|Pregnancy Complications|Pre-Eclampsia,"Instituto Nacional de Investigacao em Saude, Angola"
NCT06417398,Preliminary Clinical Study of UTAA09 Injection in the Treatment of Relapsed/Refractory Autoimmune Diseases,Systemic Lupus Erythematosus|Idiopathic Inflammatory Myopathies|Systemic Sclerosis|Sjogren's Syndrome|Rheumatoid Arthritis|Immune Thrombocytopenia|Primary Biliary Cholangitis,"PersonGen BioTherapeutics (Suzhou) Co., Ltd."
NCT06417385,taVNS-Paired Breastfeeding to Improve Breastfeeding at Discharge,"Premature Birth|Breastfeeding, Exclusive|Feeding; Difficult, Newborn",Medical University of South Carolina
NCT06417372,Intraoperative Fluorescent Staining Combined With Microsurgery for Gliomas,Glioma,"First Affiliated Hospital, Sun Yat-Sen University"
NCT06417359,Comparison of Mesh Fixation and Non-Fixation in eTEP,Migration of Implant|Pain|Postoperative Complications|Relapse,Mehmet Eşref Ulutaş
NCT06417346,Comparison of Laparoscopic and Open Inguinal Hernia Repair in Elderly Patients,Urinary Retention|Postoperative Complications|Pain|Relapse,Mehmet Eşref Ulutaş
NCT06417333,A Smart-wrist Band Connected Mobile Application for the Assessment and Management of Dementia Symptoms,"Dementia, Mild",Muğla Sıtkı Koçman University
NCT06417320,Effect of Sodium-glucose Cotransporter-2 Inhibitors (SGLT-2i) on Proteinuria in Nephrotic Children Older Than 10 Years,Nephrotic Syndrome in Children,Mansoura University
NCT06417307,Exercise Therapy on Mitochondrial Functions of Lymphocyte in Hemodialysis,Hemodialysis Complication,Chang Gung Memorial Hospital
NCT06417294,Effects of a 3D-Printed Port-A Catheter Model Training Course,Patient Satisfaction|Cancer,Fu Jen Catholic University
NCT06417281,A Phase III Clinical Trial of Photodynamic Diagnosis for Malignant Brain Glioma With 5-Aminolevulinic Acid,5-aminolevulinic Acid|Malignant Glioma of Brain,"Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co., Ltd."
NCT06417268,Combined Pericapsular Nerve Group Block and Lateral Femoral Cutaneous Nerve Block for Pediatric Hip Surgeries,Pericapsular Nerve Group Block,Kasr El Aini Hospital
NCT06417255,Comparison Of The Effects Of Kinesiotape Application And Foam Roller Exercises,"Low Back Pain, Mechanical",Istanbul Medipol University Hospital
NCT06417242,Predicting Outcomes in Atrial Fibrillation and Heart Failure,Atrial Fibrillation|Heart Failure,Guy's and St Thomas' NHS Foundation Trust
NCT06417229,"Study to Evaluate Safety, Drug Levels, Food and Relative Bioavailability of BMS-986365 in Healthy Adult Male Participants",Healthy Participants,Celgene
NCT06417216,Head-Cancelled Virtual Reality for Ocular Cranial Nerve Palsies,"Internuclear Ophthalmoplegia|Palsy, Abducens",Kevin Houston
NCT06417203,Hypobaric Spinal or Hyperbaric in Partial Hip Arthroplasty,Post Operative Pain,Adiyaman University Research Hospital
NCT06417190,Bladder Preservation for Patients With Muscle Invasive Bladder Cancer (MIBC) With Variant Histology,Muscle-Invasive Bladder Carcinoma|Tumor,Leslie Ballas
NCT06417177,Impact of Early Aging and Menopause on the Vascular Responses to Hypoxia,Aging|Menopause|Hypoxia|Vasodilation,University of Missouri-Columbia
NCT06417164,Effects of FMS Functional Movement Training on Body Posture Control in College Female Aerobics Athletes,Postural Balance,Lan Li
NCT06417151,Polish Infants and Toddler Nutritional Study,"Diet Habit|Dietary Habits|Diet, Healthy|Children|Child|Nutritional Deficiency|Nutritional Status|Macronutrients|Consumption|Dietary Assessment|Cross-sectional Study",Fundacja Nutricia
NCT06417138,"""Comparative Effect of Different Drugs Used to Tr€at Patients in Rheumatoid Arthritis Saudi Database (RASD)""",Rheumatoid Arthritis RA,Umm Al-Qura University
NCT06417125,Intranasal Dexmedetomidine Versus Oral Midazolam Premedication for Postoperative Negative Behavior Changes in Children,Behavior Problem,Fujian Provincial Hospital
NCT06417112,Left Atrial Strain Values as an Early Predictor of Atrial Fibrillation,Atrial Fibrillation|Hypertension,Hywel Dda Health Board
NCT06417099,Efficacy of Dihydroartemisinin for Treating PCOS,Polycystic Ovary Syndrome,Shanghai Zhongshan Hospital
NCT06417086,Clinical Evaluation of Acupuncture Treatment on Alzheimer's Disease in APOE e4 Carriers and Non-Carriers,Alzheimer Disease|Cognitive Impairment,Shanghai University of Traditional Chinese Medicine
NCT06417073,Effects of Task-Oriented Station Training on Cognitive Levels and Hand Functions in Geriatric Residents of Nursing Homes,Cognitive Decline|Motor Function Disorders|Geriatric Health,Çankırı Karatekin University
NCT06417060,Caudal Anesthesia Versus Local Anesthesia in Hypospadias,"Hypospadias|Hypospadias, Coronal|Caudal Anesthesia|Children",Necmi Kadıoğlu Hospital
NCT06417047,Effect of Hand Holding on Pain and Anxiety,Pain and Anxiety,Necmettin Erbakan University
NCT06417034,Hand Training Device For Cognitive Care,Healthy Elderly|Mild Cognitive Impairment (MCI),National Cheng-Kung University Hospital
NCT06417021,Ergonomics in Ultrasound Procedures,Procedural Complication|Competence,University of Padova
NCT06417008,A Phase Ib/III Clinical Study of HS-20117 Combined With Aumolertinib in Participants With Advanced Non-Squamous Non-Small Cell Lung Cancer,Non-Squamous Non-Small Cell Lung Cancer,Hansoh BioMedical R&D Company
NCT06416995,"Serum Vasohibin, Cardiotrophin, Endocan & Perinatal Outcomes",Preeclampsia|Gestational Hypertension|Gestational Diabetes|Preterm Birth|Fetal Growth Retardation,Umraniye Education and Research Hospital
NCT06416982,Perineal Massage for Pessary Examinations,"Prolapse, Vaginal|Stress Urinary Incontinence|Pessaries|Pain","University of North Carolina, Chapel Hill"
NCT06416969,Regional Lipolysis and Adipocyte Lipolysis Protein Stimulation,Obesity,Mayo Clinic
NCT06416956,Baby-CINO: CaffeINe Treatment Optimisation in Premature Infants,"Infant,Premature|Caffeine",University of Oxford
NCT06416943,3D Port-A Catheter Model for New Staff,Personal Satisfaction|Cancer,Fu Jen Catholic University
NCT06416930,Study of Cadonilimab Combined With Chemotherapy in Recurrent / Refractory Pleural Mesothelioma,Pleural Mesothelioma,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences"
NCT06416917,Glenohumeral Internal Rotation Deficit Among Professional Athletes,Internal Rotation Contracture-shoulder,Cairo University
NCT06416904,Evaluation Of Anchorage Control During Canine Retraction Using Arch Wire Stopper Versus Mini-Screws,Orthodontic Appliance Complication,Cairo University
NCT06416891,Effect of Adding Dexamethasone to Bupivacaine 0.25% in SCPB on Surgical Field Visibility During Tympanomastoid Surgery,Surgical Field|Postoperative Pain,Cairo University
NCT06416878,Brief ES for Recovery of Autonomic Function in CES,Cauda Equina Syndrome,University of Liverpool
NCT06416865,Efficacy and Safety of AJU-C52 in Essential Hypertension Patients,Essential Hypertension,"AJU Pharm Co., Ltd."
NCT06416852,Clinical Study of 18F-Alfatide Injection PET/CT,Non-Small Cell Lung Cancer NSCLC,Yantai LNC Biotechnology Singapore PTE. LTD.
